"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"93","Kamari Miller","Syrcause",0.436619718309859,0.889830508474576,0.93,0.979381443298969,3.2358316700834,0.979381443298969,0.93,0.808957917520851,0.954690721649485,1.90938144329897
"94","Mack Peattie","Virginia",0.44131455399061,0.843220338983051,0.91,0.876288659793814,3.07082355276748,0.91,0.876288659793814,0.767705888191869,0.893144329896907,1.78628865979381
"95","Gabe Simonsen","Oklahoma State",0.446009389671362,0.665254237288136,0.92,0.5,2.5312636269595,0.92,0.665254237288136,0.632815906739874,0.792627118644068,1.58525423728814
"96","Cale Littrell","Kansas",0.450704225352113,0.669491525423729,0.175,0.077319587628866,1.37251533840471,0.669491525423729,0.450704225352113,0.343128834601177,0.560097875387921,1.12019575077584
"97","Soham Patil","Texas Tech",0.455399061032864,0.139830508474576,NA,NA,0.59522956950744,0.455399061032864,0.139830508474576,0.29761478475372,0.29761478475372,0.59522956950744
"98","Stone Burke","TCU",0.460093896713615,0.0889830508474576,NA,NA,0.549076947561073,0.460093896713615,0.0889830508474576,0.274538473780536,0.274538473780536,0.549076947561073
"99","Lucas Guerra","Georgetown",0.464788732394366,0.978813559322034,0.925,0.458762886597938,2.82736517831434,0.978813559322034,0.925,0.706841294578585,0.951906779661017,1.90381355932203
"100","Charlie Robertson","Colorado",0.469483568075117,0.622881355932203,0.465,0.917525773195876,2.4748906972032,0.917525773195876,0.622881355932203,0.618722674300799,0.77020356456404,1.54040712912808
"101","Arthur Graham","Alabama",0.474178403755869,0.677966101694915,0.325,0.288659793814433,1.76580429926522,0.677966101694915,0.474178403755869,0.441451074816304,0.576072252725392,1.15214450545078
"102","Chase Rose","Ole Miss",0.47887323943662,0.101694915254237,NA,0.510309278350515,1.09087743304137,0.510309278350515,0.47887323943662,0.363625811013791,0.494591258893568,0.989182517787135
"103","Mac Howie","Georgia",0.483568075117371,0.63135593220339,0.245,0.427835051546392,1.78775905886715,0.63135593220339,0.483568075117371,0.446939764716788,0.55746200366038,1.11492400732076
"104","Tristian Galvan","Texas A&M",0.488262910798122,0.5,0.445,0.706185567010309,2.13944847780843,0.706185567010309,0.5,0.534862119452108,0.603092783505155,1.20618556701031
"105","Drew Seabase","Michigan State",0.492957746478873,0.194915254237288,0.28,NA,0.967873000716161,0.492957746478873,0.28,0.322624333572054,0.386478873239437,0.772957746478873
"106","Leo Goodman","Minnesota",0.497652582159624,0.644067796610169,NA,0.0670103092783505,1.20873068804814,0.644067796610169,0.497652582159624,0.402910229349381,0.570860189384897,1.14172037876979
"107","Zach Plotkin","Ohio State",0.502347417840376,0.199152542372881,0.455,0.180412371134021,1.33691233134728,0.502347417840376,0.455,0.334228082836819,0.478673708920188,0.957347417840376
"108","Nathan Walker","Purdue",0.507042253521127,0.682203389830508,0.88,0.896907216494845,2.96615285984648,0.896907216494845,0.88,0.74153821496162,0.888453608247423,1.77690721649485
"109","Cael Grotenhuis","NAU",0.511737089201878,0.88135593220339,0.765,0.314432989690722,2.47252601109599,0.88135593220339,0.765,0.618131502773997,0.823177966101695,1.64635593220339
"110","Jason Renze","Air Force",0.516431924882629,0.152542372881356,0.35,0.22680412371134,1.24577842147533,0.516431924882629,0.35,0.311444605368831,0.433215962441315,0.866431924882629
"111","Oscar Goll","Wyoming",0.52112676056338,0.211864406779661,NA,0.0927835051546392,0.82577467249768,0.52112676056338,0.211864406779661,0.275258224165893,0.366495583671521,0.732991167343041
"112","Wesley Larson","NC State",0.525821596244131,0.525423728813559,0.23,0.536082474226804,1.81732779928449,0.536082474226804,0.525821596244131,0.454331949821124,0.530952035235468,1.06190407047094
"113","Drew Snyder","Baylor",0.530516431924883,0.233050847457627,0.305,0.175257731958763,1.24382501134127,0.530516431924883,0.305,0.310956252835318,0.417758215962441,0.835516431924883
