"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"64","Anders Beil","CHICO STATE",0.347826086956522,0.245614035087719,0.597989949748744,0.826923076923077,2.01835314871606,0.826923076923077,0.597989949748744,0.504588287179015,0.71245651333591,1.42491302667182
"65","Kyle James-Heer","GVSU",0.353260869565217,0.359649122807018,0.326633165829146,0.341346153846154,1.38088931204753,0.359649122807018,0.353260869565217,0.345222328011884,0.356454996186117,0.712909992372235
"66","Sam Martens","GVSU",0.358695652173913,0.68859649122807,0.969849246231156,0.903846153846154,2.92098754347929,0.969849246231156,0.903846153846154,0.730246885869823,0.936847700038655,1.87369540007731
"67","Adam Thomas","Saginaw Valley ",0.364130434782609,0.0043859649122807,0.793969849246231,0.860576923076923,2.02306317201804,0.860576923076923,0.793969849246231,0.505765793004511,0.827273386161577,1.65454677232315
"68","Noah Silliman","Walsh ",0.369565217391304,0.745614035087719,0.773869346733668,0.6875,2.57654859921269,0.773869346733668,0.745614035087719,0.644137149803173,0.759741690910694,1.51948338182139
"69","Andre Seliussen","Augustana (S.D.)",0.375,0.890350877192982,0.899497487437186,NA,2.16484836463017,0.899497487437186,0.890350877192982,0.721616121543389,0.894924182315084,1.78984836463017
"70","Aiden Van Derhei","Augusta",0.380434782608696,0.429824561403509,0.64321608040201,0.649038461538462,2.10251388595268,0.649038461538462,0.64321608040201,0.525628471488169,0.646127270970236,1.29225454194047
"71","Nathan Scherbarth","ADAMS STATE",0.385869565217391,0.100877192982456,0.271356783919598,0.360576923076923,1.11868046519637,0.385869565217391,0.360576923076923,0.279670116299092,0.373223244147157,0.746446488294314
"72","David Jaquez","COLORADO CHRISTIAN",0.391304347826087,0.0614035087719298,0.0150753768844221,0.0192307692307692,0.487014002713208,0.391304347826087,0.0614035087719298,0.121753500678302,0.226353928299008,0.452707856598017
"73","Seth Lewis","COLORADO MESA",0.396739130434783,0.482456140350877,NA,NA,0.87919527078566,0.482456140350877,0.396739130434783,0.43959763539283,0.43959763539283,0.87919527078566
"74","Barak Asher","COLORADO MINES",0.402173913043478,0.802631578947368,0.276381909547739,0.653846153846154,2.13503355538474,0.802631578947368,0.653846153846154,0.533758388846185,0.728238866396761,1.45647773279352
"75","Paul Knight","COLORADO MINES",0.407608695652174,0.907894736842105,0.804020100502513,0.942307692307692,3.06183122530448,0.942307692307692,0.907894736842105,0.765457806326121,0.925101214574899,1.8502024291498
"76","Daniel Echeveste","CAL POLY POMONA",0.41304347826087,0.81140350877193,0.658291457286432,0.774038461538462,2.65677690585769,0.81140350877193,0.774038461538462,0.664194226464423,0.792720985155196,1.58544197031039
"77","Chris Razo","CAL POLY POMONA",0.418478260869565,0.618421052631579,0.381909547738693,0.0961538461538462,1.51496270739368,0.618421052631579,0.418478260869565,0.378740676848421,0.518449656750572,1.03689931350114
